id	author	book_title	publisher	Genre
816	Rustin Donati	Casa de los babys	Hachette	Romancs
817	Crichton Dikelin	Ghostbusters (a.k.a. Ghost Busters)	MacMillan	Languages
818	Averell Gibard	Take Out	MacMillan	Science
819	Aubine Partener	"I, Robot"	Penguin	Thriller
820	Sheilah Durman	Harold and Maude	MacMillan	Languages
821	Roy Fowles	Short Night of the Glass Dolls (La corta notte delle bambole di vetro)	Penguin	Science
822	Kenna Twinterman	Summer School	Harper Collins	Self-help
823	Chariot Edsall	Detention of the Dead	Penguin	Thriller
824	Riki Gorden	Cabiria	Hachette	Science
825	Lanita Carrivick	Leap of Faith	Penguin	Languages
826	Flin Calyton	Flipper	Penguin	Romancs
827	Melvyn Poncet	Into the Mind	Simon & Schuster	Psychology
828	Suzette Etty	Pepe	Simon & Schuster	Science
829	Evie Meacher	Cyclo (Xich lo)	Harper Collins	Languages
830	Valentia Pollicott	Killer Bean 2: The Party	Simon & Schuster	Psychology
831	Jewel Croysdale	CQ	MacMillan	Languages
832	Clarice Frowd	American Zombie	MacMillan	Science
833	Teriann Quant	Adoration	Simon & Schuster	Self-help
834	Gabe Fogden	Waltzes from Vienna	MacMillan	Science
835	Davey Souttar	Bigfoot Lives	Harper Collins	Self-help
836	Rubie Prigg	It's Alive	Simon & Schuster	Languages
837	Taryn Blackler	Melody	MacMillan	Self-help
838	Agnella Dinnage	Sushi Girl	Hachette	Thriller
839	Iormina Cradey	"Turning Point, The"	MacMillan	Romancs
840	Isacco Malone	Eastern Promises	Simon & Schuster	Self-help
841	Frannie Croyser	Dave Chappelle: For What it's Worth	Hachette	Thriller
842	Corella Ducker	"Bless Me, Ultima"	Simon & Schuster	Thriller
843	Berke Tatlow	"Silence, The (Tystnaden)"	Penguin	Languages
844	Deck Hearnaman	Julien Donkey-Boy	Harper Collins	Psychology
845	Gare Verdy	Rapture (Arrebato)	MacMillan	Romancs
846	Dionne Stoeck	Guinevere	Penguin	Psychology
847	Brade Bedells	It Happened Tomorrow	Harper Collins	Psychology
848	Clarisse Hasling	Moon of the Wolf	Penguin	Thriller
849	Fair Orred	Man with the Screaming Brain	Hachette	Thriller
850	Bronson Float	Burnt Money (Plata Quemada)	Hachette	Self-help
851	Ennis Spracklin	Irene in Time	Hachette	Romancs
852	Thoma Wailes	Q	Hachette	Psychology
853	Wain Ruzicka	Trilogy of Terror II	Harper Collins	Self-help
854	Giacobo Florey	Dark House	Penguin	Self-help
855	Kaylee Vivians	Apocalypse Now	Simon & Schuster	Self-help
856	Aurora Zamorano	Undertow	Simon & Schuster	Psychology
857	Amy Woolnough	"Virgin Spring, The (Jungfrukällan)"	Harper Collins	Romancs
858	Tiffy Stanier	Exorcist II: The Heretic	Hachette	Psychology
859	Ursola Reyne	Bleak Moments	MacMillan	Thriller
860	Mirabella Bertram	Socialism (Film socialisme)	Simon & Schuster	Languages
861	Diana Warnock	Fracture	Hachette	Self-help
862	Broddie Polak	Che: Part Two	MacMillan	Psychology
863	Arch Wathen	Young and Innocent	Hachette	Self-help
864	Kristin Erangey	Young Ones	Hachette	Psychology
865	Ophelia Greeno	God Grew Tired of Us	Simon & Schuster	Languages
866	Mata Cunniam	Pirates of the Caribbean: At World's End	Harper Collins	Thriller
867	Ivory Bambridge	Arnulf Rainer	MacMillan	Self-help
868	Emera Forri	Scandal Sheet	Simon & Schuster	Romancs
869	Jarrod Woolger	Get Well Soon	Harper Collins	Romancs
870	Ezekiel Dibdall	Kiss the Bride	Hachette	Self-help
871	Pauline Nolin	Festival Express	MacMillan	Thriller
872	Livia Medhurst	"Kid from Brooklyn, The"	Penguin	Self-help
873	Donnie Grishukov	Terumae romae (Thermae Romae)	Harper Collins	Romancs
874	Gwenora Schustl	Love in the Time of Hysteria (Sólo con tu pareja)	Simon & Schuster	Languages
875	Eldin Maunders	India's Daughter	MacMillan	Self-help
876	Inglis Acheson	New in Town	Simon & Schuster	Self-help
877	Hetti Rosi	Repast (Meshi)	Simon & Schuster	Science
878	Jamison Alam	Rain or Shine	Simon & Schuster	Science
879	Norean Ledgerton	End of the Spear	Harper Collins	Romancs
880	Mirabel Whiterod	Excision	Hachette	Psychology
881	Royall Newart	"Cooler, The"	MacMillan	Thriller
882	Lily Meneur	The African	Harper Collins	Thriller
883	Shoshana Gresty	Sniper	Harper Collins	Thriller
884	Cecile Crosscombe	Devil Doll	Harper Collins	Languages
885	Kalle Miall	Easy Virtue	Harper Collins	Romancs
886	Ab Bolderstone	Joysticks	Simon & Schuster	Self-help
887	Estell McGhie	X: The Man with the X-Ray Eyes	Simon & Schuster	Thriller
888	Bryana Newark	"Boob, The"	Harper Collins	Thriller
889	Marni Riddock	Devil in a Blue Dress	Penguin	Thriller
890	Tabby O'Fihily	Attila (Attila the Hun)	Simon & Schuster	Psychology
891	Hercules Bremley	"Touch of Sin, A (Tian zhu ding)"	Hachette	Psychology
892	Wiatt Baddam	"Luzhin Defence, The"	Hachette	Self-help
893	Lionello Cromb	Evilspeak	Simon & Schuster	Self-help
894	Michell Rings	X-Men	MacMillan	Languages
895	Sharl Brammar	Cameraman: The Life and Work of Jack Cardiff	Penguin	Thriller
896	Demeter Lammenga	Dracula Untold	Hachette	Science
897	Pasquale Kapiloff	All About the Benjamins	MacMillan	Thriller
898	Helsa di Rocca	Das Leben ist nichts für Feiglinge	Harper Collins	Romancs
899	Weider Budnk	Conquest	Penguin	Science
900	Gunilla Londing	Grbavica: The Land of My Dreams (Grbavica)	Simon & Schuster	Languages
901	Audre Keyhoe	35 Up	MacMillan	Psychology
902	Aprilette Saunton	Juvenile Court	Simon & Schuster	Thriller
903	Dayna Truckett	Virginia	Simon & Schuster	Science
904	Dasi Fleet	Viva Riva!	Simon & Schuster	Romancs
905	Whittaker Caulfield	Masquerade	MacMillan	Romancs
906	Theo Leahy	"Goodbye, Columbus"	Simon & Schuster	Science
907	Adi Durnan	"Acla, The Descent into Floristella (La discesa di Aclà a Floristella)"	Penguin	Languages
908	Norma Napoleone	Bebe's Kids	Harper Collins	Languages
909	Dory Litton	"Mermaid, The (Rusalka)"	Hachette	Languages
910	Monty Catford	"Illusionist, The (L'illusionniste)"	Harper Collins	Science
911	Jonathon Belward	Robot Carnival (Roboto kânibauru)	Hachette	Thriller
912	Kelsy Messom	Flowers in the Attic	MacMillan	Psychology
913	Ediva Jurges	Les invincibles	Hachette	Romancs
914	Chaddie Milington	Deception	MacMillan	Psychology
915	Eldon De Angelis	Red Heat	Harper Collins	Romancs
916	Nariko Raffan	Philadelphia	Harper Collins	Psychology
917	Jud Bestar	Rid of Me	MacMillan	Thriller
918	Berte Sivyer	Teacher's Pet	Penguin	Self-help
919	Rafael Stoffel	TMNT (Teenage Mutant Ninja Turtles)	Hachette	Science
920	Cliff Renvoise	"Catered Affair, The"	MacMillan	Languages
921	Maisey Haysman	"Son's Room, The (Stanza del figlio, La)"	Penguin	Psychology
922	Tam Foch	Hudson Hawk	Harper Collins	Languages
923	Casey Collumbine	Colt Comrades	Harper Collins	Self-help
924	Dylan Reading	You Kill Me	Hachette	Languages
925	Waldemar Adhams	Sushi Girl	Harper Collins	Self-help
926	Caryn Tailby	"Gazebo, The"	Hachette	Thriller
927	Lisabeth McKinnon	London	MacMillan	Romancs
928	Page Twigger	5 Against the House	Penguin	Thriller
929	Kerrin Drewry	My Rainy Days	MacMillan	Romancs
930	Jack Craske	"All Dogs Christmas Carol, An"	Simon & Schuster	Self-help
931	Ronna Tredger	Why Not Me? (Pourquoi pas moi ?)	Hachette	Psychology
932	Weider Gianelli	Tigrero: A Film That Was Never Made	Hachette	Romancs
933	Annabell Skipper	Guts (Agallas)	Penguin	Thriller
934	Valeria Tomkins	Spy Kids	Simon & Schuster	Psychology
935	Allene Trathan	We Live in Public	Harper Collins	Science
936	Alanah Stollberg	On the Line	Harper Collins	Languages
937	Arni Jereatt	Chef	Hachette	Self-help
938	Standford Georges	"Peace, Propaganda & the Promised Land"	Harper Collins	Science
939	Hortensia Danilchik	Seeking Asian Female	Harper Collins	Psychology
940	Erek Summerhayes	Snake-Crane Secret (She hao dan xin zhen jiu zhou)	Harper Collins	Science
941	Alexia Hardes	"History of Future Folk, The"	Penguin	Thriller
942	Kaile Hackley	"Standing Aside, Watching"	Harper Collins	Science
943	Faina Dinnies	Possessed (Besat)	Penguin	Thriller
944	Celle Aisbett	Baadasssss! (How to Get the Man's Foot Outta Your Ass)	MacMillan	Science
945	Adelle Garrod	Don't Deliver Us from Evil (Mais ne nous délivrez pas du mal)	Hachette	Languages
946	Birch Aldins	Wyatt Earp	Hachette	Psychology
947	Lindon Tomaskunas	"Ghost Ship, The"	Penguin	Romancs
948	Galina Pereira	Through the Olive Trees (Zire darakhatan zeyton)	MacMillan	Science
949	Daryl LLelweln	Face to Face (Faccia a faccia)	MacMillan	Romancs
950	Latrena Olenin	True Love	Simon & Schuster	Thriller
951	Tabbi Langrish	Friday the 13th Part V: A New Beginning	Simon & Schuster	Romancs
952	Kippy Stitle	"Day He Arrives, The (Book chon bang hyang)"	Harper Collins	Psychology
953	Casper Waby	Foo Fighters: Back and Forth	MacMillan	Science
954	Cameron Tampion	Dirty Filthy Love	Penguin	Self-help
955	Garwin Wigsell	"Wonderful World of the Brothers Grimm, The"	Harper Collins	Self-help
956	Nil Jordan	Rapid Fire	Simon & Schuster	Romancs
957	Crissie Standeven	"Pink Panther, The"	Harper Collins	Thriller
958	Cherida Putley	Kit Kittredge: An American Girl	Hachette	Thriller
959	Valaree Anfrey	"Sadness of Sex, The"	Penguin	Science
960	Ave Fasey	Massacre Canyon	Hachette	Psychology
961	Ruth Golly	"Single Girl, A (Fille seule, La)"	MacMillan	Languages
962	Kettie Dumbar	"Last of the High Kings, The (a.k.a. Summer Fling)"	Penguin	Thriller
963	Dunstan Oakinfold	Tigrero: A Film That Was Never Made	Simon & Schuster	Romancs
964	Tate Turbill	Thrashin'	Simon & Schuster	Psychology
965	Goldarina Jaffray	Genocide (Konchû daisensô)	Penguin	Self-help
966	Shoshanna Haverty	"Brass Teapot, The"	Hachette	Psychology
967	Myrvyn Naris	"Escape Artist, The"	Penguin	Romancs
968	Genevieve Roarty	"Happenstance (Battement d'ailes du papillon, Le)"	MacMillan	Self-help
969	Bertie Scutchings	Where Were You When the Lights Went Out?	Harper Collins	Science
970	Paquito Bavister	Flame and Women (Honô to onna) 	Simon & Schuster	Languages
971	Paulo McAulay	"Stockholm, Pennsylvania"	Penguin	Languages
972	Sabrina Allkins	Juice	Hachette	Science
973	Gilly Pudan	"Mummy: Tomb of the Dragon Emperor, The"	Harper Collins	Psychology
974	Ina Coggill	"Core, The"	Penguin	Romancs
975	Angelica Sitlinton	Matinee	Hachette	Self-help
976	Riley Mosdall	Concussion	Penguin	Self-help
977	Moselle Francie	"Grand Budapest Hotel, The"	Hachette	Psychology
978	Timmie Schwerin	You May Not Kiss the Bride	MacMillan	Thriller
979	Shay Jaegar	Liam	Hachette	Self-help
980	Derward Stockings	"Taxing Woman, A (Marusa no onna)"	MacMillan	Thriller
981	Gabriele Rivard	Manny & Lo	Harper Collins	Languages
982	Ransell Meynell	Never Ever! (Nigdy w zyciu!)	Simon & Schuster	Thriller
983	Margaret Iacovacci	College	MacMillan	Romancs
984	Pancho Ruprechter	Danger: Diabolik (Diabolik)	MacMillan	Thriller
985	Donica Petrecz	Earth vs. The Spider	Simon & Schuster	Self-help
986	Karyn Gozzard	Back Door to Hell	MacMillan	Psychology
987	Penelope Prium	"Sticky Fingers of Time, The"	Simon & Schuster	Self-help
988	Drucie Pepineaux	Without Pity	Penguin	Science
989	Karla Bernollet	"Sin of Madelon Claudet, The"	Simon & Schuster	Self-help
990	Godiva Aykroyd	Are You Listening?	Penguin	Psychology
991	Nari Rumble	Kickboxer	Hachette	Languages
992	Roi DeSousa	Romance & Cigarettes	Penguin	Psychology
993	Merrill O'Rodane	"Perils of Gwendoline in the Land of the Yik Yak, The"	Penguin	Psychology
994	Remus Cowpe	Camp Rock	Hachette	Romancs
995	Merrie Syers	"Taste of Honey, A"	Simon & Schuster	Romancs
996	Phylis Slavin	Shining Through	MacMillan	Self-help
997	Lana Quartermaine	Morgan Pålsson - världsreporter	Simon & Schuster	Romancs
998	Tyler Canelas	Harrison Bergeron	Penguin	Languages
999	Birdie Laurie	"Moth, The (Cma)"	Penguin	Romancs
1000	Kylynn Goodered	Mysterious Origins of Man	Penguin	Psychology
